job_position_name,career_objective,skills,matched_score,degree_names,major_field_of_studies,experiencere_requirement
"Executive/ Senior Executive- Trade Marketing, Hygiene Products",to utilize my customer relations and management background to obtain a position with a company that places importance on efficiency and success. employ natural leadership and interpersonal skills to build relationships throughout the organization.,Not provided,0.85,['bachelor of science'],['accounting'],at least 3 years
"Full Stack Developer (Python,React Js)","a highly experienced skilled graduate with analytics degree with a very good experience in sas, web scraping, sql, predictive modelling and data visualization. excellent ability in identifying data requirements for analysis, data cleaning, munging and model building; ensures the organization uses it effectively to reach profit and growth objectives. comfortable with data handling, modeling, and coding, and have an appreciation of what makes sense from a business standpoint. more than six years of experience working as a researcher, data analyst, and environmental science and technology instructor. experience in sql, data warehousing, maintaining, securing and stabilizing data layers and testing to identify data and product defects introduced in the system. customer segmentation, product positioning and mapping and conjoint analysis modelling: design and implement statistical / predictive models and cutting edge algorithms utilizing diverse sources of data to predict diversified experience with engineering, manufacturing, retailing, higher education and it /data related companies fascinated by learning cutting edge technologies, such as; data mining and machine learning handled a team of 4 during my 3 years of tech experience and managed more than 200 students and effectively evaluated the performance of each student and utilize assessment methods to judge overall progress during my teaching experience.",Not provided,0.936666667,"['master of science', 'master of science', 'bachelor of science']","['analytics', 'environmental science and technology', 'resource management']",3 to 7 years
Executive/ Sr. Executive -It,"i am looking for an opportunity to work as a data scientist. possessing right and accurate skills at collecting, analyzing, interpreting large datasets and performing data management tasks. under the guidance of company's professionals i can contribute to company's success using my extensive analytical skills.",Not provided,0.65,['b.sc'],['statistics'],3 to 5 years
Head Of Internal Control & Compliance (Icc) - Sevp/Dmd,"a curiosity-driven data scientist, eager to leverage machine learning and data analytics to extract meaningful insights, make informed decisions and solve challenging business problems. i ensure to contribute with my knowledge, logical thinking and analytical skills towards the consistent growth and development of the organization, and enhance my experience through continuous learning and teamwork.",Not provided,0.676666667,"['bsc(ca)', 'msc(ca)']","['computer applications', 'computer applications']",at least 15 years
Machine Learning (Ml) Engineer,recent graduate testing and debugging machine learning models. i have worked on multiple projects and have contributed to the testing and quality control of models over time. i am looking to switch to a development role where i can exercise my skills.,Not provided,0.85,['b.tech'],['information technology'],at least 5 year(s)
Asst. Manager/ Manger (Administrative),understanding and solving problems has been one my core objectives since i started working. exploring data and the different interpretation it can have is what amazes me. currently interested machine learning developer and engineer roles.,Not provided,0.716666667,['bca'],['n/a'],at least 5 years
"Executive/ Senior Executive- Trade Marketing, Hygiene Products",i am currently working as a junior machine learning engineer and i want to learn more about how machine learning projects impact real work scenarios.,Not provided,0.65,['b.tech'],['electronics/telecommunication'],at least 3 years
Management Trainee - Mechanical,i am looking for a job switch to transition into data science and utilize my currents skills & learnings from my master's course to solve new problems.,Not provided,0.65,"['b.tech', 'ms']","['electrical', 'artificial intelligence and machine learning']",Not specified
"Executive/ Senior Executive- Trade Marketing, Hygiene Products",as a data analyst i always look into more innovative ways of finding figures and facts from data. i have also worked with some production based machine learning application problems and i would like to involve myself more with such ventures.,Not provided,0.85,"['b.tech', 'm.tech']","['[none, none]']",at least 3 years
Machine Learning (Ml) Engineer,to obtain a computer engineering internship at xyz company that will utilize my problem-solving abilities and to further sharpen my skills in computer science.,Not provided,0.716666667,['bachelor of science'],"['computer science, minor: mathematics']",at least 5 year(s)
"Executive/ Senior Executive- Trade Marketing, Hygiene Products","i am a recent graduate who is interested and fascinated by machine learning. i want to join this industry and be a part of it, learn and contribute towards both the growth of the company and me as an individuals in terms of skills.",Not provided,0.683333333,"['b.sc', 'mca']","['computer science', 'computers']",at least 3 years
"Executive/ Senior Executive- Trade Marketing, Hygiene Products","flexible, autonomous graduate with an ms in computer science looking to leverage experience building responsive and scalable web apps to solve problems that delight end-users. motivated to learn from senior engineers while sharing innovative ideas in an environment like odoo that values personal growth.",Not provided,0.583333333,"['m.s.', 'b.s.']","['computer science', 'computer science']",at least 3 years
Ai Engineer,Not provided,Not provided,0.716666667,['b.tech'],['computers'],Not specified
Senior Ios Engineer,"data analyst, interested in machine learning application development. as a data analyst, i have extensive experience with data preprocessing and pipeline building and i would like to venture further into this domain to learn more about it.",Not provided,0.65,['bsc'],['information technology'],at least 4 years
Mechanical Engineer,"associate solution advisor currently enrolled in pg for data science, knowledge in data manipulation, analysis, reporting and data visualization. in depth knowledge of tools used for production.",Not provided,0.65,['b.e. (computers)'],['computers'],2 to 5 years
"Executive/ Senior Executive- Trade Marketing, Hygiene Products",Not provided,Not provided,0.52,"['bachelor of science', 'diploma']","['professional aeronautics', 'n/a']",at least 3 years
Machine Learning (Ml) Engineer,Not provided,Not provided,0.5833333333333334,"['master of science', 'bachelor of science']","['taxation', 'accounting']",at least 5 year(s)
"Full Stack Developer (Python,React Js)",Not provided,Not provided,0.75,"['master of science', 'bachelor of engineering']","['manufacturing systems engineering', 'mechanical engineering']",3 to 7 years
Hr Officer,"to pursue excellence in the dynamic business world by obtaining a placement allowing me to perform in an environment where honesty, sincerity & a positive attitude would be valued. i would like to take up a challenging job to nourish my qualification, expertise & experience within a reputed organization & further enhance my performance.",Not provided,0.85,"['mba', 'n/a']","['finance', 'n/a']",Not specified
Data Engineer,my main objective in seeking employment with triumph actuation systems inc. is to work in a professional atmosphere where i can utilize my skills and continue to gain experience in the aerospace industry to advance in my career.,Not provided,0.683333333,"['associates', 'associates']","['applied science electronics engineering', 'applied science, munitions systems technology']",5 to 8 years
"Full Stack Developer (Python,React Js)",Not provided,Not provided,0.783333333,['associate degree'],['electronics engineering technology'],3 to 7 years
Marketing Officer,to obtain a rewarding position in a field where my skills can be further developed and utilized.,Not provided,0.75,"[""['b.s. degree', none]""]","[""['progress', none]""]",at least 1 year
Marketing Officer,Not provided,Not provided,0.483333333,"['master of science', 'bachelor of engineering']","['manufacturing systems engineering', 'mechanical engineering']",at least 1 year
Marketing Officer,i am actively seeking opportunity as data analyst or machine learning engineer. my goal is to discover new business strategies and create an impact through data driven analytical decisions and leading the business to success.,Not provided,0.623333333,['b. tech'],['ece'],at least 1 year
Mechanical Engineer,"looking to utilize hands-on experience of machine learning, deep learning and artificial intelligence for data discovery, exploration, prediction and analysis tasks.",Not provided,0.683333333,['b.tech'],['computers'],2 to 5 years
"Executive/ Senior Executive- Trade Marketing, Hygiene Products",Not provided,Not provided,0.85,"['graduate certificate', 'mba', 'bachelor of science']","['project management', 'management', 'internetworking technologies']",at least 3 years
"Executive/ Senior Executive- Trade Marketing, Hygiene Products",Not provided,Not provided,0.75,['bachelor of science'],['civil engineering'],at least 3 years
Database Administrator (Dba),Not provided,Not provided,0.783333333,"['master of science', 'bachelor of science']","['management of technology', 'computer science']",at least 1 year
Ai Engineer,i am actively seeking opportunity as data analyst or machine learning engineer. my goal is to discover new business strategies and create an impact through data driven analytical decisions and leading the business to success.,Not provided,0.783333333,['b. tech'],['ece'],Not specified
Machine Learning (Ml) Engineer,associate software engineer specializing in machine learning models and optimization. i work with both natural language processing and computer vision in terms of modelling and development.,Not provided,0.85,['b.tech'],['electronics/telecommunication'],at least 5 year(s)
"Executive/ Senior Executive- Trade Marketing, Hygiene Products",i am actively seeking opportunity as data analyst or machine learning engineer. my goal is to discover new business strategies and create an impact through data driven analytical decisions and leading the business to success.,Not provided,0.783333333,['b. tech'],['ece'],at least 3 years
"Full Stack Developer (Python,React Js)",graduate of computer science with experience working across the full-stack of software development. looking for a role where i can grow and learn from experienced team members while drawing on project experience i have already successfully executed.,Not provided,0.85,['b.s.'],['computer science'],3 to 7 years
Database Administrator (Dba),"looking for a job opportunity in which i can interact, learn, and contribute solutions to the problems, which enhances company benefits along with my career.",Not provided,0.75,['b. tech'],['ece'],at least 1 year
Network Support Engineer,"fresher, working as a software developer and interested in machine learning roles. familiar with how large scale models are built and data processing is done for large amounts of data. also well acquainted with the norms of python development.",Not provided,0.78,['b.tech'],['computers'],at least 3 years
Project Coordinator (Civil),innovative and enthusiastic computer science educator with a passion for critical thinking/problem-solving and sharing a love for technology and science. looking for a career role at the green meadow waldorf school that will make a difference for students in the stem areas and instill in them the confidence and abilities to succeed and thrive.,Not provided,0.55,['bachelor of science'],['computer science'],5 to 10 years
Project Coordinator (Civil),Not provided,Not provided,0.8166666666666668,['bs'],['accounting business administration'],5 to 10 years
Marketing Officer,big data analytics working and database warehouse manager with robust experience in handling all kinds of data. i have also used multiple cloud infrastructure services and am well acquainted with them. currently in search of role that offers more of development.,Not provided,0.65,['b.tech'],['electronics'],at least 1 year
"Executive/ Senior Executive- Trade Marketing, Hygiene Products",Not provided,Not provided,0.65,['b.tech'],['electrical and electronics'],at least 3 years
Database Administrator (Dba),Not provided,Not provided,0.816666667,['bachelor of science'],['computer science'],at least 1 year
Civil Engineer,as a data analyst i always look into more innovative ways of finding figures and facts from data. i have also worked with some production based machine learning application problems and i would like to involve myself more with such ventures.,Not provided,0.65,"['b.tech', 'm.tech']","['[none, none]']",at least 5 years
Ai Engineer,Not provided,Not provided,0.8266666666666667,['associate of arts'],['advertising & public relations'],Not specified
Business Development Executive,"proficient entry level electrical engineer with excellent technical, analytical and communication skills. willing to relocate anywhere in the us.",Not provided,0.483333333,"['master of science', 'bachelor of science']","['engineering electrical engineering', 'electrical engineering']",1 to 3 years
"Executive/ Senior Executive- Trade Marketing, Hygiene Products",software engineer with a track record of implementing and completing projects on time and in alignment with client expectations. enthusiast about data science and keen to learn and explore.,Not provided,0.65,['bachelor of engineering'],['computer engineering'],at least 3 years
Executive - Vat,"dedicated and focused professional who excels at prioritizing, completing multiple tasks simultaneously and following through to achieve project goals. seeking a role of increased responsibility and authority.",Not provided,0.7933333333333333,"['n/a', 'n/a']","['graphic design, real estate', 'architectural drafting']",1 to 3 years
Project Coordinator (Civil),Not provided,Not provided,0.683333333,['bachelor of science'],['electrical and computer engineering'],5 to 10 years
Database Administrator (Dba),fresher who is well acquainted with some of the natural language processing (nlp) and text analysis. i have worked on a few projects and also on databases to extract data and process them. in search of a role where i can understand about the commercial applications and contribute to them.,Not provided,0.726666667,['b.sc(ca)'],['n/a'],at least 1 year
Ai Engineer,"machine learning enthusiast. motivated to learn, grow and excel my experience by challenging myself.",Not provided,0.816666667,['b.tech'],['cse'],Not specified
Machine Learning (Ml) Engineer,Not provided,Not provided,0.683333,"['masters of public administration', 'b.a. general studies', 'high school diploma']","['budget and public finance', 'business management', 'n/a']",at least 5 year(s)
Ai Engineer,i recently graduated with a b.tech degree in it and currently am looking for jobs in sectors related to machine learning. i want to explore and hone my skills. i am committed towards better coding practices.,Not provided,0.783333333,['b.tech'],['it'],Not specified
Ai Engineer,fresher who is well acquainted with some of the natural language processing (nlp) and text analysis. i have worked on a few projects and also on databases to extract data and process them. in search of a role where i can understand about the commercial applications and contribute to them.,Not provided,0.75,['b.sc(ca)'],['n/a'],Not specified
"Executive/ Senior Executive- Trade Marketing, Hygiene Products",Not provided,Not provided,0.8166666666666668,['bachelor'],['accounting'],at least 3 years
Project Coordinator (Civil),Not provided,Not provided,0.65,['associate degree'],['electronics engineering technology'],5 to 10 years
Data Engineer,Not provided,Not provided,0.716666667,"['b.tech', 'm.tech']","[""[none, 'big data analytics']""]",5 to 8 years
Machine Learning (Ml) Engineer,"dedicated and focused professional who excels at prioritizing, completing multiple tasks simultaneously and following through to achieve project goals. seeking a role of increased responsibility and authority.",Not provided,0.7933333333333333,"['n/a', 'n/a']","['graphic design, real estate', 'architectural drafting']",at least 5 year(s)
Marketing Officer,Not provided,Not provided,0.62,"['b.a (economics)', 'msc (economics)']","['economics', 'economics']",at least 1 year
"Full Stack Developer (Python,React Js)","to design, develop and manage products in the field of consumer electronics devices, networking protocols, internet applications and connected devices. vision to create personalized experiences based on machine learning.",Not provided,0.85,"['m.tech', 'b.e', 'course']","['control systems', 'electrical engineering', 'machine learning']",3 to 7 years
Marketing Officer,looking for roles related to application development in machine learning.,Not provided,0.493333333,['b.ba'],['n/a'],at least 1 year
"Executive/ Senior Executive- Trade Marketing, Hygiene Products",Not provided,Not provided,0.693333333,['bachelor of science'],['electrical engineering'],at least 3 years
Ai Engineer,Not provided,Not provided,0.783333333,['bachelor of science'],['computer science'],Not specified
"Executive/ Senior Executive- Trade Marketing, Hygiene Products",Not provided,Not provided,0.683333333,['bachelor of science'],['electrical and computer engineering'],at least 3 years
Project Coordinator (Civil),"passionate data engineer with a zeal to excel forward and produce promising outcomes. hands-on knowledge in various machine learning algorithms. also experienced in data mining, warehouse maintaining, and visualization. in search of a role where i can nurture my skills and contribute to the growth of the company and myself.",Not provided,0.716666667,"['b.tech', ""master's diploma""]","['computers', 'analytics and artificial intelligence']",5 to 10 years
Asst. Manager/ Manger (Administrative),a highly disciplined and hard-working individual seeking challenging opportunity in the field of data science and data analytics where i can utilize my skills and knowledge to contribute for the growth of the organization,Not provided,0.683333333,['b.tech'],['n/a'],at least 5 years
Machine Learning (Ml) Engineer,Not provided,Not provided,0.6,['bachelor of science'],['business management'],at least 5 year(s)
Database Administrator (Dba),Not provided,Not provided,0.75,"['bachelors', 'associates degree']","['information technology', 'n/a']",at least 1 year
Database Administrator (Dba),Not provided,Not provided,0.85,"['ph.d. in computer science', 'master in computer science', 'bachelor in physics']","['computer science', 'computer science', 'physics']",at least 1 year
Ai Engineer,graduate of computer science with experience working across the full-stack of software development. looking for a role where i can grow and learn from experienced team members while drawing on project experience i have already successfully executed.,Not provided,0.816666667,['b.s.'],['computer science'],Not specified
Marketing Officer,"a quality-oriented professional with a keen interest in solving complex business problems by way of ai-based design & thinking. a technology-agnostic individual with a strong background in data science, statistics, and economics with an aim to accelerate artificial intelligence.",Not provided,0.716666667,"['b.tech', 'msc']","['jkg college, nashik', 'computational economics']",at least 1 year
Marketing Officer,"a versatile and dynamic manager and marketing professional with more than (20) years of sales, management, marketing and promotional experience. a goal oriented and trusted leader, able to communicate effectively with people of all ages and backgrounds, to work collaboratively to resolve problems and to motivate team members to achieve personal and organizational objectives.",Not provided,0.8166666666666668,['bachelor of arts degree'],['communications'],at least 1 year
Marketing Officer,seeking for full time position where i can apply my technical knowledge & skills for continuous improvement.,Not provided,0.793333333,"['masters of science', 'bachelor of engineering']","['industrial engineering production & inventory management', 'production engineering manufacturing, planning and supply chain']",at least 1 year
Management Trainee - Mechanical,post graduate analyst experienced in business management and statistical analysis. i have a very good grasp on finding the best solution for a business and applying them.,Not provided,0.75,"['bsc', 'msc']","['statistics', 'data analysis and statistical computation']",Not specified
Network Support Engineer,"a curiosity-driven data scientist, eager to leverage machine learning and data analytics to extract meaningful insights, make informed decisions and solve challenging business problems. i ensure to contribute with my knowledge, logical thinking and analytical skills towards the consistent growth and development of the organization, and enhance my experience through continuous learning and teamwork.",Not provided,0.76,"['bsc(ca)', 'msc(ca)']","['computer applications', 'computer applications']",at least 3 years
Project Coordinator (Civil),"to advance in professional and personal experiences within finance, tax accounting and management to obtain a staff accountant position that will enable me to perform my best using my mathematical, numerical, accounting and analytical ability for the betterment of the organization.",Not provided,0.7933333333333333,"['diploma', 'bachelor of science']","['accounting', 'computer science']",5 to 10 years
"Executive/ Senior Executive- Trade Marketing, Hygiene Products",i am a software developer and analyst professional working for a year with client side technology and machine learning product delivery. i have handled small but scalable machine learning projects and want to expand my experience and expertise in the domain.,Not provided,0.56,['b.tech(it)'],['information technology'],at least 3 years
Machine Learning (Ml) Engineer,Not provided,Not provided,0.85,"['masters of science in information technology', ""bachelor's degree in computer science"", 'certification in computer packages', 'kcse', 'kcpe']","['information technology', 'software engineering', 'n/a', 'n/a', 'n/a']",at least 5 year(s)
"Full Stack Developer (Python,React Js)",Not provided,Not provided,0.85,['b.tech'],['telecommunication'],3 to 7 years
Management Trainee - Mechanical,"to design, develop and manage products in the field of consumer electronics devices, networking protocols, internet applications and connected devices. vision to create personalized experiences based on machine learning.",Not provided,0.85,"['m.tech', 'b.e', 'course']","['control systems', 'electrical engineering', 'machine learning']",Not specified
Manager- Human Resource Management (Hrm),"experienced senior corporate accountant dedicated to accounting and financial excellence, seeking to utilize skills and in-depth expertise in accounting (gaap), general ledger reconciliation, variance analysis, financial reporting, team management and process improvement to help achieve your company's goals.",Not provided,0.85,"['mba', 'bba - accounting', 'bba - finance']","['business administration, accounting & finance', 'n/a', 'n/a']",5 to 6 years
Site Engineer,i am a post graduate having knowledge of industry-level machine learning problems and research topics. i currently work as a machine learning engineer and i want to keep exploring such opportunities.,Not provided,0.45,"['b.sc', 'm.sc']","['computer science engineering', 'big data analytics']",1 to 2 years
"Executive/ Senior Executive- Trade Marketing, Hygiene Products",Not provided,Not provided,0.65,"['master of business administration', 'bachelor of science', 'project management graduate certificate']","[""[none, 'electrical engineering', none]""]",at least 3 years
Senior Ios Engineer,"i am an experienced analytics specialist seeking a full-time position in the field of data science and application in business problem solving, where i can apply my knowledge and skills for continuous improvement.",Not provided,0.65,['b.tech'],['ece'],at least 4 years
Intern (Generative Ai Engineering - 2D/3D Image Generation),"looking to utilize hands-on experience of machine learning, deep learning and artificial intelligence for data discovery, exploration, prediction and analysis tasks.",Not provided,0.85,['b.tech'],['computers'],Not specified
Database Administrator (Dba),Not provided,Not provided,0.783333333,"['b.tech', 'm.tech']","['telecommunication', 'electrical']",at least 1 year
Manager- Human Resource Management (Hrm),Not provided,Not provided,0.783333333,"['b.com', 'pg diploma']","['commerce', 'data science and business analytics']",5 to 6 years
Data Engineer,"financial and accounting professional with expertise in financial analysis, audit, compliance, financial accounting, forecasting, budgeting, and procurement in the healthcare industry. strong working knowledge of gaap, fasb, sox, and asc 606 procedures. exceptional analytical ability and problem-solving skills, analysis and solutions of complex problems in conjunction with managing financial outputs, managing teams to achieve defined outcomes with over 15 years' experience in a variety of organizational roles. advanced knowledge of microsoft toolsets. results oriented with proven track record of quick learning ability, increased responsibilities and rapid advancement.",Not provided,0.7833333333333333,['bachelor of business administration'],['accounting'],5 to 8 years
"Executive/ Senior Executive- Trade Marketing, Hygiene Products",Not provided,Not provided,0.693333333,['bachelor of science'],['biological sciences'],at least 3 years
"System Administrator (Operation & Maintenance Of Server, Storage & Service Desk System)",fresher early in system engineer role looking to change tracks into data analytics and application.,Not provided,0.65,['b.tech'],['instrumentation'],4 to 5 years
Senior Software Engineer,"energetic, innovative engineering undergraduate, passionate about machine learning, nlp and deep learning for solving real-world problems, aiming to work in an organization providing great learning experience and growth opportunities for mutual benefit.",Not provided,0.65,"['b.tech. (electrical engineering specialization in computer science)', 'xii', 'x']","['electrical engineering specialized in computer science', 'n/a', 'n/a']",at least 1 year
Project Coordinator (Civil),Not provided,Not provided,0.583333333,"['food handler certificate', 'high school diploma', 'n/a']","['food services', 'n/a', 'health education & language arts']",5 to 10 years
"Full Stack Developer (Python,React Js)",want to work as a machine learning production engineer.,Not provided,0.85,"['b.tech', 'm.tech']","['electronics/telecommunication', 'advanced analytics']",3 to 7 years
Database Administrator (Dba),Not provided,Not provided,0.7833333333333333,['bachelor'],['accounting'],at least 1 year
"Executive/ Senior Executive- Trade Marketing, Hygiene Products","an enthusiast, with a master's degree in electronics & telecommunication, very keen to learn & eagerly looking for opportunities.",Not provided,0.683333333,['b.ca'],['n/a'],at least 3 years
Devops Engineer,fresher data engineer who is experienced in pipeline building and analytics. seeking to leverage my technical and analytical skills to drive growth of the organization.,Not provided,0.716666667,"['b.tech', 'pg diploma']","['electronics and communication', 'data science and engineering']",at least 3 years
"Full Stack Developer (Python,React Js)","skilled machine learning and deep learning practitioner, and i have worked on computer vision-based projects. on the lookout for opportunities that help me understand more about the domain.",Not provided,0.85,['b.tech(computers)'],['computers'],3 to 7 years
Machine Learning (Ml) Engineer,"i am a junior machine learning developer who focuses on data improvement and modelling, finding patterns in large databases and optimization of different models.",Not provided,0.85,['b.tech'],['electrical'],at least 5 year(s)
"Full Stack Developer (Python,React Js)",data analyst actively seeking job roles related to data science and machine learning.,Not provided,0.59,['bca'],['[none]'],3 to 7 years
Database Administrator (Dba),to successfully implement my communication and engineering skills into a strong and growing company.,Not provided,0.826666667,"['course revisions for the: national electrical code', 'associate degree']","['electrical', 'electrical']",at least 1 year
Database Administrator (Dba),Not provided,Not provided,0.816666667,['b.e'],['it and ece'],at least 1 year
Asst. Manager/ Manger (Administrative),"a fresher seeking roles in machine learning, business analysis, data predictive modelling, statistical solutions, data mining.",Not provided,0.65,['b.tech (mechanical)'],['mechanical'],at least 5 years
Ai Engineer,as a data analyst i always look into more innovative ways of finding figures and facts from data. i have also worked with some production based machine learning application problems and i would like to involve myself more with such ventures.,Not provided,0.85,"['b.tech', 'm.tech']","['[none, none]']",Not specified
"Full Stack Developer (Python,React Js)",Not provided,Not provided,0.6,['high school diploma'],['n/a'],3 to 7 years
Machine Learning (Ml) Engineer,deep learning fresher who is looking to join a company to understand and experience production grade models. i am experienced with latent as well as cloud-based models on azure and aws,Not provided,0.826666667,['b.tech'],['computer science & engineering'],at least 5 year(s)
Hr Officer,"fresher starting out with business analysis, and machine learning modelling based on data engineering.",Not provided,0.6,['bba'],['n/a'],Not specified
Database Administrator (Dba),Not provided,Not provided,0.75,"['masters of public administration', 'b.a. general studies', 'high school diploma']","['budget and public finance', 'business management', 'n/a']",at least 1 year
Project Coordinator (Civil),Not provided,Not provided,0.65,['b.tech'],['electrical engineering'],5 to 10 years
Data Engineer,"a fresher seeking roles in machine learning, business analysis, data predictive modelling, statistical solutions, data mining.",Not provided,0.683333333,['b.tech (mechanical)'],['mechanical'],5 to 8 years
Data Engineer,would like to join any firm as a software developer in machine learning projects.,Not provided,0.546666667,['b.tech'],['computer science'],5 to 8 years
"Executive/ Senior Executive- Trade Marketing, Hygiene Products","i am looking for an opportunity to work as a data scientist. possessing right and accurate skills at collecting, analyzing, interpreting large datasets and performing data management tasks. under the guidance of company's professionals i can contribute to company's success using my extensive analytical skills.",Not provided,0.65,['b.sc'],['statistics'],at least 3 years
"Full Stack Developer (Python,React Js)",i am a software engineer who has worked on several computer vision projects and their end to end deployment. i am looking to join as a machine learning developer to closely work on problems and increase my grasp over the domain.,Not provided,0.85,"['b.tech', 'post graduation']","['electronics & computers', 'software development']",3 to 7 years
Ai Engineer,i am a software developer currently working on machine learning projects. the domain of analytics and machine learning has amassed a greater interest for me and i want to explore and learn about the core concepts used in production. i am looking to switch to a fulltime role that will help me explore more about this.,Not provided,0.783333333,['b.tech'],['information technology'],Not specified
Data Engineer,"to secure an it specialist, desktop support, network administration, database administrator, technical support specialist or related position with a growing organization where my microsoft certification, technical aptitude, networking, windows and mac os, apple and android ios, web development, application development, linux, microsoft applications, managing, testing, client support, help desk, technical support, troubleshooting, and leadership skills can benefit those who i work for as well as myself.",Not provided,0.873333333,"['bachelor degree', 'associate degree']","['electronics and communications engineering technology', 'software development']",5 to 8 years
Senior Software Engineer,i am currently looking for an opportunity as a data science or machine learning engineer.,Not provided,0.65,"['bba', 'mba']","['management', 'information technology']",at least 1 year
Machine Learning (Ml) Engineer,a highly disciplined and hard-working individual seeking challenging opportunity in the field of data science and data analytics where i can utilize my skills and knowledge to contribute for the growth of the organization,Not provided,0.85,['b.tech'],['n/a'],at least 5 year(s)
Data Science Engineer,"certified data analyst with a degree in electronics engineering, i have hands on experience in analyzing & interpreting data with good numerical accuracy.",Not provided,0.816666667,['b.tech/b.e.'],['electronics/telecommunication'],at least 2 years
Ai Engineer,Not provided,Not provided,0.783333333,"['ph.d.', 'master of science', 'bachelor of arts']","['computer information systems and technology', 'computer information systems and technology', 'business administration']",Not specified
Executive/ Sr. Executive -It,looking for roles related to application development in machine learning.,Not provided,0.693333333,['b.ba'],['n/a'],3 to 5 years
"Executive/ Senior Executive- Trade Marketing, Hygiene Products","i am a software engineer, and i want to work on full time roles associated with machine learning. i have previously worked on some corporate models and due to its intricacies i want to explore more in the domain.",Not provided,0.626666667,['b.tech'],['computers'],at least 3 years
Project Coordinator (Civil),Not provided,Not provided,0.77,"['associates degree', 'high school diploma']","['applied science electronics technology', 'n/a']",5 to 10 years
Database Administrator (Dba),Not provided,Not provided,0.8266666666666667,['bachelor of science'],['accounting'],at least 1 year
Database Administrator (Dba),"creative and innovative draftsman, passionate about building designs and advanced construction solutions.â  â seeking the best opportunity to further enhance present professional experience and expand knowledge base on architectural designs, while growing with an organization.",Not provided,0.85,['a.a.s'],['drafting and design'],at least 1 year
Ai Engineer,a highly disciplined and hard-working individual seeking challenging opportunity in the field of data science and data analytics where i can utilize my skills and knowledge to contribute for the growth of the organization,Not provided,0.816666667,['b.tech'],['n/a'],Not specified
"Full Stack Developer (Python,React Js)",to utilize my customer relations and management background to obtain a position with a company that places importance on efficiency and success. employ natural leadership and interpersonal skills to build relationships throughout the organization.,Not provided,0.65,['bachelor of science'],['accounting'],3 to 7 years
Business Development Executive,"skilled machine learning and deep learning practitioner, and i have worked on computer vision-based projects. on the lookout for opportunities that help me understand more about the domain.",Not provided,0.416666667,['b.tech(computers)'],['computers'],1 to 3 years
"Full Stack Developer (Python,React Js)",Not provided,Not provided,0.65,['b.tech'],['electrical and electronics'],3 to 7 years
Data Engineer,Not provided,Not provided,0.4166666666666667,"['master of arts', 'bachelor of arts', 'associates of applied science']","['christian education', 'economics', 'accounting']",5 to 8 years
Marketing Officer,"strong willingness to exhibit my proficiency in analytical tools, statistics and computing methodologies in the professional environment.",Not provided,0.716666667,['bachelor of science'],['statistics'],at least 1 year
Management Trainee - Mechanical,"i am a junior machine learning developer who focuses on data improvement and modelling, finding patterns in large databases and optimization of different models.",Not provided,0.683333333,['b.tech'],['electrical'],Not specified
Marketing Officer,Not provided,Not provided,0.65,"['m.s', 'b.e']","['computer science', 'electronics and communication engineering']",at least 1 year
"Full Stack Developer (Python,React Js)",i am currently looking for an opportunity as a data science or machine learning engineer.,Not provided,0.65,"['bba', 'mba']","['management', 'information technology']",3 to 7 years
"System Administrator (Operation & Maintenance Of Server, Storage & Service Desk System)","energetic, innovative engineering undergraduate, passionate about machine learning, nlp and deep learning for solving real-world problems, aiming to work in an organization providing great learning experience and growth opportunities for mutual benefit.",Not provided,0.65,"['b.tech. (electrical engineering specialization in computer science)', 'xii', 'x']","['electrical engineering specialized in computer science', 'n/a', 'n/a']",4 to 5 years
"Full Stack Developer (Python,React Js)","seeking long term employment where my experience, expertise, and education can be used to satisfy the needs of the company, as well as provide opportunity for personal development and career advancement.",Not provided,0.65,"['business certification', 'international business']","['n/a', 'international business']",3 to 7 years
Site Engineer,"graduate analyst currently working as business analyst consultant. as an individual, i always try to overcome problems in the most analytical manner. i want to work on machine learning application problems that deal with real life scenarios.",Not provided,0.65,['b.tech'],['mechanical'],1 to 2 years
Project Coordinator (Civil),"to pursue excellence in the dynamic business world by obtaining a placement allowing me to perform in an environment where honesty, sincerity & a positive attitude would be valued. i would like to take up a challenging job to nourish my qualification, expertise & experience within a reputed organization & further enhance my performance.",Not provided,0.64,"['mba', 'n/a']","['finance', 'n/a']",5 to 10 years
Database Administrator (Dba),data engineer who is experienced with text analytics and natural language processing. i have also worked on big data analytics using hadoop,Not provided,0.85,['b.tech'],['n/a'],at least 1 year
Executive/ Sr. Executive -It,i am data science enthusiast focused on solving complex problems using machine learning techniques. i try to simplify problems and attack them head on. always working and striving to be better solution finder.,Not provided,0.683333333,['b.tech'],['ece'],3 to 5 years
"Full Stack Developer (Python,React Js)","second year computer science student at the university of york seeking a summer internship in software development. programming skills in python, java and visual basic have been developed through degree, alongside the ability to analyse and work through problems in a logical manner. work experience in education and retail has developed customer service skills and ability to communicate with a range of people.",Not provided,0.85,"['meng computer science', 'a level']","[""['computer science', none]""]",3 to 7 years
Database Administrator (Dba),Not provided,Not provided,0.8166666666666668,['bachelor of science degree'],['finance'],at least 1 year
Manager- Human Resource Management (Hrm),i am currently a graduate who works with nlp-based problems. i am also familiar with machine learning methodologies for production environments. always a team player and ready to take criticism and work towards better outcomes.,Not provided,0.76,['b.tech'],['electrical'],5 to 6 years
